"HGE Cosmic Schools","Kids $250k+",Address,"Metro Area","Prime Locations",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Alicia,4601,"25261 Paseo de Alicia Laguna Hills CA 92653 US","CA - Los Angeles",,33.601372,-117.689109,1,rooftop,25261,"Paseo De Alicia",,,"Laguna Hills",CA,"Orange County",92653,US,"Orange (CC0 1.0)"
"Arbor Spring",1395,"430 Arbor Spring, Ballwin, MO 63021","MO - St. Louis",,38.569319,-90.525659,1,rooftop,430,"Arbor Spring Dr",,,Ballwin,MO,"St. Louis County",63021,US,"St Louis (CC0)"
Baymeadows,594,"8401 Baymeadows Way, Jacksonville, FL 32256 US","FL - Jacksonville",,30.218573,-81.580666,1,rooftop,8401,"Baymeadows Way",,,Jacksonville,FL,"Duval County",32256,US,Duval
Beaverton,1175,"9945 S.W. Beaverton Hillsdale Hwy. Beaverton OR 97005 US","OR - Portland",,45.486867,-122.77875,1,rooftop,9945,"SW Beaverton Hillsdale Hwy",,,Beaverton,OR,"Washington County",97005,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Bee Cave",2531,"14058 Bee Cave Pkwy Building C, Austin, TX 78738 US","TX - Austin",,30.311521,-97.964538,1,rooftop,14058,"Bee Cave Pkwy",Bldg,C,Austin,TX,"Travis County",78738,US,"City of Austin (Public Domain)"
"Blue Ash",1245,"11179 Luschek Dr, Cincinnati, OH 45241","OH - Cincinnati",,39.270535,-84.380688,1,rooftop,11179,"Luschek Dr",,,"Blue Ash",OH,"Hamilton County",45241,US,Hamilton
"Bradley Hills",5366,"7108 Bradley Blvd., Bethesda, MD 20817","DC - Washington DC",,39.00503,-77.146636,1,rooftop,7108,"Bradley Blvd",,,Bethesda,MD,"Montgomery County",20817,US,Montgomery
Brasswood,1396,"2001 NW 142nd St, Oklahoma City, OK 73134","OK - Oklahoma City",,35.61565,-97.548018,1,rooftop,2001,"NW 142nd St",,,"Oklahoma City",OK,"Oklahoma County",73134,US,Oklahoma
Bridgewater,2261,"1246 US Hwy 202/206, Bridgewater Township, NJ 08807","NJ - Newark",2,40.640127,-74.635767,0.82,rooftop,1246,"US-202 And 206",,,Bridgewater,NJ,"Somerset County",08807,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Broadlands,6409,"42945 Waxpool Rd, Ashburn, VA 20148 US","DC - Washington DC",1,39.016795,-77.518102,1,rooftop,42945,"Waxpool Rd",,,Broadlands,VA,"Loudoun County",20148,US,Loudoun
"Brooklyn Heights",7065,"212 Hicks St. Brooklyn, NY 11201 US","NY - NYC",1,40.695055,-73.996068,1,rooftop,212,"Hicks St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
"Brushy Creek",4546,"3017 Polar Lane Cedar Park, TX 78613 US","TX - Austin",,30.517065,-97.77515,1,rooftop,3017,"Polar Ln",,,"Cedar Park",TX,"Williamson County",78613,US,"City of Cedar Park"
"Brushy Creek Academy",4546,"3017 Polar Lane Cedar Park, TX 78613 US","TX - Austin",,30.517065,-97.77515,1,rooftop,3017,"Polar Ln",,,"Cedar Park",TX,"Williamson County",78613,US,"City of Cedar Park"
"Burr Ridge",2501,"7508 S County Line Rd, Burr Ridge, IL 60527","IL - Chicago",2,41.752193,-87.916726,1,rooftop,7508,"S County Line Rd",,,"Burr Ridge",IL,"Dupage County",60527,US,Dupage
Carmel,2227,"10216 N Michigan Rd, Carmel, IN 46032","IN - Indianapolis",,39.93456,-86.235883,1,rooftop,10216,"N Michigan Rd",,,Carmel,IN,"Hamilton County",46032,US,Hamilton
Cary,2893,"316 Colonades Way, Cary, NC 27518","NC - Raleigh",1,35.738528,-78.777512,1,rooftop,316,"Colonades Way",,,Cary,NC,"Wake County",27518,US,Cary
"Celebration Park",1008,"1122 S 322nd Pl, Federal Way, WA 98003","WA - Seattle",,47.312928,-122.317765,1,rooftop,1122,"S 322nd Pl",,,"Federal Way",WA,"King County",98003,US,King
"Central West End (Laclede)",386,"4150 Laclede Ave, St. Louis, MO 63108 US","MO - St. Louis",,38.637199,-90.248919,1,rooftop,4150,"Laclede Ave",,,"Saint Louis",MO,"St. Louis City",63108,US,"City of St Louis"
Chantilly,3337,"4550 Walney Rd, Chantilly, VA 20151 US","DC - Washington DC",2,38.877912,-77.435364,1,rooftop,4550,"Walney Rd",,,Chantilly,VA,"Fairfax County",20151,US,Fairfax
Clarksville,332,"101 Ringgold Rd, Clarksville, TN 37042","TN - Nashville",,36.594184,-87.416948,1,rooftop,101,"Ringgold Rd",,,Clarksville,TN,"Montgomery County",37042,US,Montgomery
"Copper Hill",2622,"25135 Rye Canyon Loop, Santa Clarita, CA 91355 US","CA - Los Angeles",,34.455407,-118.579906,1,rooftop,25135,"Rye Canyon Loop",,,Valencia,CA,"Los Angeles County",91355,US,"Los Angeles (Los Angeles County license to copy, publish, distribute and/or transmit the Data, to adapt the Data and to exploit the Data for commercial and/or personal use)"
"Creve Coeur",1100,"689 Craig Rd, Creve Coeur, MO 63141","MO - St. Louis",,38.668648,-90.437884,1,rooftop,689,"Craig Rd",,,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis (CC0)"
"Cypress Creek",2502,"2006 Sun Chase Blvd, Cedar Park, TX 78613 US","TX - Austin",,30.477556,-97.83756,1,rooftop,2006,"Sun Chase Blvd",,,"Cedar Park",TX,"Williamson County",78613,US,"City of Cedar Park"
Deerbrook,3334,"1085 Lake Cook Road, Deerfield, IL 60015 US","IL - Chicago",2,42.151832,-87.853804,1,rooftop,1085,"Lake Cook Rd",,,Deerfield,IL,"Cook County",60015,US,Cook
Deerfield,2805,"3105 Webb Rd, Milton, GA 30004 US","GA - Atlanta",,34.097576,-84.269605,1,rooftop,3105,"Webb Rd",,,Alpharetta,GA,"Fulton County",30004,US,"Fulton (Fulton County)"
"Downers Grove",1555,"925 Ogden Avenue, Downers Grove, IL 60515","IL - Chicago",2,41.80857,-88.008638,0.99,rooftop,925-29,"Ogden Ave",,,"Downers Grove",IL,"Dupage County",60515,US,Dupage
"Downtown Boston",2248,"99 Chapman Pl, Boston, MA 02108","MA - Boston",,42.357116,-71.060236,1,range_interpolation,99,"Chapman Pl",,,Boston,MA,"Suffolk County",02108,US,"TIGER/Line® dataset from the US Census Bureau"
"Downtown Naperville",2086,"24 N Washington St., Naperville, IL 60540 US","IL - Chicago",1,41.775747,-88.146767,1,rooftop,24,"N Washington St",,,Naperville,IL,"Dupage County",60540,US,Dupage
Duluth,3091,"3345 Peachtree Industrial Blvd, Duluth, GA 30096 US","GA - Atlanta",,34.012849,-84.167871,1,rooftop,3345,"Peachtree Industrial Blvd",,,Duluth,GA,"Gwinnett County",30096,US,Gwinnett
Eldorado,6238,"7508 W Eldorado Pkwy, McKinney, TX 75070 US","TX - Dallas",,33.174779,-96.716743,0.8,rooftop,7508,"Eldorado Pkwy",,,McKinney,TX,"Collin County",75070,US,"City of Mckinney"
Emeryville,1518,"1450 63rd St, Emeryville, CA 94608 US","CA - Bay Area",,37.844453,-122.290334,1,rooftop,1450,"63rd St",,,Emeryville,CA,"Alameda County",94608,US,"Alameda (Alameda County)"
Evanston,1987,"1012 Davis Street, Evanston, IL 60201 US","IL - Chicago",2,42.046879,-87.685696,1,rooftop,1012,"Davis St",,,Evanston,IL,"Cook County",60201,US,"City of Evanston"
Fairfax,2322,"3909 Oak St, Fairfax, VA 22030, US","DC - Washington DC",2,38.853651,-77.315547,1,rooftop,3909,"Oak St",,,Fairfax,VA,"Fairfax City",22030,US,"Virginia Geographic Information Network (VGIN)"
"Flower Mound",2377,"2501 Simmons Rd, Flower Mound, TX 75022 US","TX - Dallas",,33.019511,-97.089242,1,rooftop,2501,"Simmons Rd",,,"Flower Mound",TX,"Denton County",75022,US,Denton
Folsom,2511,"777 Levy Rd, Folsom, CA 95630 US","CA - Sacramento",,38.661274,-121.159472,1,rooftop,777,"Levy Rd",,,Folsom,CA,"Sacramento County",95630,US,"Sacramento (Sacramento County CC BY 4.0)"
"Foothill Ranch",4912,"26462 Towne Centre Dr, Foothill Ranch, CA 92610 US","CA - Los Angeles",,33.680355,-117.668628,1,rooftop,26462,"Towne Centre Dr",,,"Foothill Ranch",CA,"Orange County",92610,US,"City of Lake Forest"
Galleria,1547,"1331 S Voss Rd, Houston, TX 77057 US","TX - Houston",,29.75414,-95.49972,1,rooftop,1331,"S Voss Rd",,,Houston,TX,"Harris County",77057,US,"City of Houston"
Gambrills,2412,"1305 Riedel Rd, Gambrills, MD 21054 US","DC - Washington DC",2,39.038351,-76.673098,1,rooftop,1305,"Riedel Rd",,,Gambrills,MD,"Anne Arundel County",21054,US,"Anne Arundel (Anne Arundel County)"
"Gear Lake",579,"728 Gear Lake Ave., Orlando, FL 32803","FL - Orlando",,28.554737,-81.33053,1,rooftop,728,"Gear Lake Ave",,,Orlando,FL,"Orange County",32803,US,"Orange (Public Domain Orange County)"
